,Region,Light Pollution,Time
0,Anaheim,254.767625532,2017-06
1,Bakersfield,241.320300298,2017-06
2,Fresno,246.275021525,2017-06
3,Irvine,246.893044361,2017-06
4,La Jolla,207.906884525,2017-06
5,Long Beach,198.737006303,2017-06
6,Los Angeles,253.794566667,2017-06
7,Oakland,229.557435343,2017-06
8,Riverside,240.752245314,2017-06
9,Sacramento,248.294745002,2017-06
10,San Bernardino,246.758584708,2017-06
11,San Diego,242.081323847,2017-06
12,San Francisco,203.540153312,2017-06
13,San Jose,251.919233333,2017-06
14,Santa Barbara,56.8664682458,2017-06
